,City,Country,Temperature,Latitude,Longitude,Wind Speed,Humidity,Cloudiness,Date
383,shu,KZ,61.3,43.6,73.76,5.12,31,24,1599870262
384,goure,NE,80.01,13.98,10.27,3.0,76,42,1599870262
385,lompoc,US,62.6,34.64,-120.46,9.17,82,1,1599870263
386,serenje,ZM,56.48,-13.23,30.24,6.49,56,19,1599870264
387,bria,CF,69.82,6.54,21.99,3.33,95,71,1599870264
388,vite,IN,71.42,17.28,74.55,6.11,95,98,1599870265
389,ilulissat,GL,30.2,69.22,-51.1,10.29,33,0,1599870088
390,port hawkesbury,CA,51.01,45.62,-61.35,4.7,81,20,1599870267
391,ryotsu,JP,82.4,38.08,138.43,4.7,74,41,1599870268
392,itaqui,BR,69.57,-29.13,-56.55,12.93,92,93,1599870269
393,mongo,TD,77.04,12.18,18.69,2.64,85,83,1599870271
394,koumac,NC,74.39,-20.57,164.28,5.14,61,1,1599870271
395,jacqueville,CI,75.2,5.21,-4.41,9.17,94,20,1599870272
396,sao joao da barra,BR,73.26,-21.64,-41.05,17.11,83,0,1599870273
397,vardo,NO,48.76,70.37,31.11,9.13,74,42,1599869992
398,wonthaggi,AU,55.99,-38.6,145.59,18.99,91,100,1599870147
399,mahon,ES,69.8,39.89,4.27,6.93,94,10,1599870275
400,kunnamangalam,IN,73.4,11.3,75.88,3.36,94,75,1599870276
401,teguise,ES,73.4,29.06,-13.56,6.93,78,20,1599870276
402,westport,US,69.8,41.14,-73.36,9.17,77,75,1599869982
403,yeniseysk,RU,43.7,58.45,92.17,0.81,90,35,1599870277
404,selma,US,82.4,36.57,-119.61,3.36,44,1,1599870117
405,mogadishu,SO,77.79,2.04,45.34,18.21,84,84,1599870278
406,discovery bay,US,87.01,37.91,-121.6,3.0,36,0,1599870278
407,concepcion,CL,51.8,-36.83,-73.05,12.75,71,2,1599869985
408,saskylakh,RU,46.67,71.92,114.08,5.08,72,76,1599870278
409,beckley,US,75.2,37.78,-81.19,8.05,78,1,1599870016
410,taitung,TW,80.6,22.76,121.14,3.36,83,75,1599870279
411,dunedin,NZ,50.0,-45.87,170.5,8.99,70,75,1599870110
412,kokopo,PG,85.23,-4.35,152.26,11.56,66,1,1599870279
413,kosh-agach,RU,27.59,50.0,88.67,1.43,92,0,1599870280
414,banyumas,ID,76.24,-7.51,109.29,5.06,80,96,1599870282
415,port hedland,AU,75.2,-20.32,118.57,5.82,60,0,1599870282
416,vokhma,RU,45.32,58.93,46.76,6.96,97,55,1599870283
417,praya,CV,78.8,14.92,-23.51,8.05,83,75,1599870012
418,yangambi,CD,69.42,0.81,24.43,2.17,99,100,1599870036
419,yelnya,RU,44.4,54.58,33.18,4.94,91,42,1599870285
420,belomorsk,RU,44.01,64.52,34.77,7.45,86,71,1599870286
421,husavik,IS,44.6,66.04,-17.34,11.41,75,90,1599870287
422,kuytun,RU,44.37,54.34,101.5,10.04,90,100,1599870287
423,christchurch,NZ,52.0,-43.53,172.63,9.17,52,0,1599870153
424,olavarria,AR,44.56,-36.89,-60.32,3.47,60,28,1599870289
425,mackay,AU,70.0,-21.15,149.2,18.34,68,90,1599870289
426,orchard homes,US,86.0,46.86,-114.05,4.7,19,1,1599870004
427,mwingi,KE,60.96,-0.93,38.06,3.4,92,65,1599870291
428,daru,PG,77.79,-9.08,143.21,15.12,74,29,1599870291
429,waingapu,ID,80.38,-9.66,120.26,10.42,64,98,1599870293
430,oudtshoorn,ZA,57.2,-33.59,22.2,5.82,100,61,1599870294
431,lahat,ID,73.74,-3.8,103.53,1.66,86,99,1599870294
432,ixtapa,MX,86.0,20.7,-105.2,5.82,74,90,1599870295
433,novikovo,RU,48.99,51.15,37.89,4.18,74,17,1599870296
434,kahului,US,93.2,20.89,-156.47,23.04,36,40,1599870296
435,chulman,RU,59.2,56.85,124.91,6.2,79,75,1599870297
436,anzio,IT,72.0,41.49,12.62,5.64,91,67,1599870298
437,semirom,IR,48.78,31.42,51.57,3.0,50,27,1599870299
438,balkhash,KZ,56.19,46.84,74.98,16.28,40,51,1599870045
439,padang,ID,77.11,-0.95,100.35,2.57,74,99,1599870300
440,rheden,NL,53.01,52.02,6.05,1.12,100,3,1599870301
441,aykhal,RU,44.6,66.0,111.5,4.47,81,90,1599870302
442,shirokiy,RU,57.67,49.76,129.52,2.44,71,0,1599870303
443,quatre cocos,MU,69.8,-20.21,57.76,11.41,88,75,1599870303
444,miranda,CO,75.2,3.25,-76.23,9.17,69,40,1599870304
445,ambon,ID,78.8,-3.7,128.18,6.93,88,75,1599870305
446,pak chong,TH,77.05,14.71,101.42,1.83,85,99,1599870225
447,puerto del rosario,ES,73.4,28.5,-13.86,10.29,78,75,1599870041
448,kavaratti,IN,81.34,10.57,72.64,19.84,79,98,1599870033
449,berlin,DE,57.99,52.52,13.41,2.71,93,0,1599870182
450,atar,MR,93.65,20.52,-13.05,5.08,34,23,1599870309
451,panzhihua,CN,66.0,26.59,101.71,1.12,90,100,1599870310
452,weihe,CN,58.95,33.0,105.32,0.49,83,96,1599870311
453,saint-raymond,CA,59.0,45.47,-73.61,5.82,67,20,1599870311
454,kargasok,RU,48.81,59.06,80.86,5.57,95,99,1599870313
455,quballat,TN,73.4,36.54,9.66,4.7,64,40,1599870313
456,maykor,RU,48.43,59.01,55.88,8.1,95,74,1599870314
457,saint-ambroise,CA,48.2,48.55,-71.33,5.82,87,20,1599870314
458,aksarayskiy,RU,57.2,46.79,48.01,4.47,82,0,1599870314
459,inongo,CD,68.76,-1.95,18.27,4.74,93,94,1599870314
460,takestan,IR,62.6,36.07,49.7,2.24,51,0,1599870314
461,souillac,MU,69.8,-20.52,57.52,11.41,88,75,1599870315
462,nakkila,FI,51.8,61.37,22.0,8.05,87,90,1599870315
463,exmouth,GB,55.99,50.62,-3.4,5.82,82,20,1599870315
464,macon,US,73.0,39.87,-88.97,6.93,94,1,1599870316
465,cabedelo,BR,75.2,-6.98,-34.83,8.05,78,40,1599870317
466,andenes,NO,48.2,69.31,16.12,5.82,87,100,1599870318
467,santa rosa del sur,CO,72.5,7.96,-74.05,3.24,97,80,1599870319
468,hualmay,PE,60.24,-11.1,-77.61,6.73,83,11,1599870320
469,mitchell,US,57.2,43.71,-98.03,3.36,82,90,1599870234
470,narodychi,UA,49.48,51.2,29.08,2.55,71,0,1599870321
471,cairns,AU,77.0,-16.92,145.77,14.99,61,11,1599870273
472,lujan,AR,55.0,-34.57,-59.1,6.87,67,97,1599870323
473,laguna,US,86.0,38.42,-121.42,3.36,26,90,1599870323
474,banda aceh,ID,78.64,5.56,95.32,10.49,82,100,1599870326
475,tura,IN,74.32,25.52,90.22,3.87,97,90,1599870327
476,chapais,CA,48.2,49.78,-74.85,3.36,93,75,1599870309
477,eyrarbakki,IS,46.4,63.86,-21.15,4.7,81,51,1599870328
478,ayan,RU,58.12,56.45,138.17,2.35,61,24,1599870329
479,kurilsk,RU,55.92,45.23,147.88,6.26,62,3,1599870330
480,inyonga,TZ,70.34,-6.72,32.07,5.86,50,89,1599870330
481,tarakan,ID,78.67,3.3,117.63,7.11,81,94,1599870332
482,qaqortoq,GL,41.0,60.72,-46.03,14.99,27,0,1599870333
483,solyanka,RU,57.2,46.39,48.02,4.47,82,0,1599870334
484,peterhead,GB,50.0,57.51,-1.8,11.41,81,96,1599870335
485,warri,NG,76.51,5.52,5.75,3.89,89,100,1599870335
486,orlovskiy,RU,63.12,46.87,42.06,5.57,42,0,1599870336
487,alaca,TR,60.48,40.17,34.84,5.08,85,34,1599870336
488,makakilo city,US,91.4,21.35,-158.09,9.17,43,1,1599870078
489,nadym,RU,53.17,65.53,72.52,16.26,77,52,1599870337
490,yarim,YE,57.07,14.3,44.38,2.1,77,47,1599870337
491,inuvik,CA,44.6,68.35,-133.72,5.82,81,90,1599870130
492,aktau,KZ,57.2,43.65,51.2,8.95,67,0,1599870125
493,auki,SB,84.2,-8.77,160.7,1.66,70,4,1599870338
494,vilhena,BR,80.6,-12.74,-60.15,5.82,54,16,1599870338
495,lashio,MM,70.29,22.93,97.75,1.19,100,100,1599870339
496,colares,PT,72.0,38.8,-9.45,6.78,72,100,1599870339
497,mporokoso,ZM,61.36,-9.37,30.12,8.77,48,4,1599870339
498,veraval,IN,79.75,20.9,70.37,5.55,83,100,1599870340
499,nelson bay,AU,68.0,-32.72,152.15,8.05,67,0,1599870340
500,ararangua,BR,69.04,-28.93,-49.49,2.75,86,55,1599870341
501,bukama,CD,70.38,-9.2,25.85,3.0,27,33,1599870342
502,surin,TH,84.0,14.88,103.49,3.83,99,72,1599870343
503,sereflikochisar,TR,67.1,38.94,33.54,5.75,50,1,1599870344
504,kavieng,PG,84.74,-2.57,150.8,8.1,68,5,1599870344
505,hami,CN,57.58,42.8,93.45,6.98,32,0,1599870344
506,inirida,CO,75.54,3.87,-67.92,2.37,93,96,1599870344
507,grindavik,IS,46.4,63.84,-22.43,17.22,81,20,1599870345
508,cuamba,MZ,62.94,-14.8,36.54,3.04,75,37,1599870345
509,thinadhoo,MV,82.08,0.53,72.93,11.1,76,98,1599870346
510,tual,ID,78.76,-5.67,132.75,20.09,82,29,1599870346
511,sabang,ID,81.5,5.89,95.32,19.62,78,100,1599870347
512,ayr,GB,55.4,55.46,-4.63,16.11,76,20,1599870348
513,arkhangelskaya,RU,68.29,45.68,40.28,2.51,47,0,1599870348
514,inhambane,MZ,68.52,-23.86,35.38,8.93,80,35,1599870349
515,yumen,CN,49.93,40.28,97.2,9.31,47,0,1599870349
516,nuuk,GL,39.0,64.18,-51.72,9.17,59,0,1599870351
517,adrar,MR,93.7,20.5,-10.07,7.34,27,50,1599870351
518,hay river,CA,46.4,60.82,-115.8,25.28,93,90,1599870352
519,skelleftea,SE,50.0,64.75,20.95,5.82,87,100,1599870352
520,belmonte,BR,75.2,-15.86,-38.88,10.29,69,20,1599870108
521,bani walid,LY,76.14,31.76,13.99,4.03,66,17,1599870352
522,mweka,CD,70.11,-4.85,21.57,2.98,81,73,1599870353
523,flin flon,CA,66.2,54.77,-101.86,10.29,72,75,1599870353
524,wewak,PG,83.89,-3.55,143.63,7.67,69,15,1599870353
525,maragogi,BR,73.06,-9.01,-35.22,11.36,79,1,1599870353
526,olafsvik,IS,45.91,64.89,-23.71,33.44,81,99,1599870355
527,namibe,AO,65.03,-15.2,12.15,5.95,88,40,1599870355
528,trzcianka,PL,53.02,53.04,16.46,5.79,74,1,1599870356
529,malartic,CA,55.4,48.13,-78.13,3.36,71,40,1599870357
530,katobu,ID,81.23,-4.94,122.53,7.31,69,11,1599870358
531,ilorin,NG,73.51,8.5,4.55,3.96,91,59,1599870359
532,boyuibe,BO,80.58,-20.42,-63.28,7.54,29,11,1599870360
533,naantali,FI,57.2,60.47,22.02,9.17,71,100,1599870360
534,hoquiam,US,59.0,46.98,-123.89,6.93,82,90,1599870361
535,naze,JP,84.2,28.37,129.48,8.05,83,75,1599870362
536,dubti,ET,85.57,11.74,41.09,14.27,44,74,1599870363
537,chekhov,RU,48.2,55.14,37.47,6.71,81,100,1599870364
538,gibara,CU,75.2,21.11,-76.13,4.7,94,75,1599870364
539,douglas,US,57.99,41.3,-96.17,4.7,93,90,1599870365
540,ahuimanu,US,89.6,21.44,-157.84,10.29,62,40,1599870096
541,esmeraldas,BR,77.0,-19.76,-44.31,3.36,33,0,1599870367
542,itaituba,BR,82.15,-4.28,-55.98,1.43,54,46,1599870368
543,morehead,US,82.4,37.27,-87.18,6.93,100,1,1599870369
544,jalu,LY,75.49,29.03,21.55,8.34,58,0,1599870369
545,codrington,AU,53.1,-38.27,141.97,12.39,94,100,1599870369
546,yarmouth,US,63.0,41.71,-70.23,5.82,72,1,1599870370
547,ladario,BR,85.71,-19.0,-57.6,2.44,24,0,1599870133
548,dunda,TZ,61.07,-8.12,34.25,3.22,71,51,1599870370
549,yarega,RU,47.34,63.44,53.58,6.87,97,53,1599870370
550,mazagao,BR,82.4,-0.12,-51.29,11.41,83,20,1599870370
551,bandarbeyla,SO,79.57,9.49,50.81,16.22,67,66,1599870371
552,sao gabriel da cachoeira,BR,81.09,-0.13,-67.09,1.5,71,80,1599870371
553,usakos,NA,60.39,-22.0,15.6,1.36,33,0,1599870371
554,novyy urengoy,RU,51.01,66.08,76.63,11.01,85,87,1599870371
555,tatarsk,RU,48.97,55.22,75.98,7.54,71,71,1599870372
556,bilibino,RU,49.68,68.05,166.44,1.86,49,95,1599870373
557,dagua,CO,75.2,3.66,-76.69,9.17,69,40,1599870373
558,brae,GB,50.0,60.4,-1.35,26.4,87,40,1599870374
559,zeya,RU,59.88,53.75,127.27,3.44,70,13,1599870374
560,zyryanka,RU,54.54,65.75,150.85,1.59,52,0,1599870374
561,los llanos de aridane,ES,75.2,28.66,-17.92,14.99,78,75,1599870374
562,dori,BF,81.21,14.04,-0.03,10.38,56,95,1599870374
563,azangaro,PE,47.05,-14.92,-70.22,5.77,64,96,1599870375
564,omsukchan,RU,46.74,62.53,155.8,9.24,56,95,1599870375
565,vanimo,PG,85.8,-2.67,141.3,6.62,61,26,1599870375
566,taoudenni,ML,100.17,22.68,-3.98,7.56,15,47,1599870375
567,krasnyy chikoy,RU,54.32,50.36,108.75,3.0,77,100,1599870376
568,san vicente,AR,77.92,-26.62,-54.13,3.94,45,85,1599870376
569,thayetmyo,MM,76.57,19.32,95.18,5.61,95,100,1599870376
570,imbituba,BR,69.8,-28.24,-48.67,12.75,77,71,1599870376
571,itarema,BR,78.17,-2.92,-39.92,16.46,79,75,1599870377
