,City,Country,Temperature,Latitude,Longitude,Wind Speed,Humidity,Cloudiness,Date
87,moranbah,AU,64.45,-22.0,148.05,20.31,69,98,1599870082
88,bredasdorp,ZA,60.8,-34.53,20.04,14.99,87,100,1599870083
89,praia da vitoria,PT,71.01,38.73,-27.07,8.79,88,75,1599870083
90,castro,BR,67.06,-24.79,-50.01,2.98,72,100,1599870040
91,pisco,PE,62.6,-13.7,-76.22,12.75,72,17,1599869991
92,berlevag,NO,46.63,70.86,29.09,8.1,73,13,1599869958
93,awbari,LY,83.91,26.59,12.78,6.2,18,24,1599870088
94,anadyr,RU,50.0,64.75,177.48,8.95,81,75,1599870088
95,pevek,RU,42.89,69.7,170.31,0.4,86,30,1599870088
96,bethel,US,62.01,41.37,-73.41,3.67,81,14,1599870088
97,huarmey,PE,61.12,-10.07,-78.15,7.18,81,17,1599870089
98,fort nelson,CA,55.4,58.81,-122.7,6.93,50,40,1599870089
99,airai,TL,68.7,-8.93,125.41,5.64,42,16,1599870090
100,rivers,CA,68.0,50.03,-100.24,14.99,34,75,1599870091
101,zhangjiakou,CN,58.35,40.81,114.88,3.98,79,84,1599870092
102,bundaberg,AU,70.0,-24.85,152.35,17.22,82,75,1599869976
103,rudsar,IR,69.8,37.14,50.29,2.08,94,0,1599870093
104,yermakovskoye,RU,42.01,53.28,92.4,2.35,90,88,1599870069
105,salalah,OM,80.6,17.02,54.09,2.24,78,75,1599870095
106,mastic beach,US,66.0,40.77,-72.85,14.38,77,40,1599870096
107,changli,CN,68.59,39.7,119.15,13.29,74,9,1599870096
108,fairbanks,US,48.2,64.84,-147.72,9.17,75,90,1599869969
109,evensk,RU,49.66,61.95,159.23,16.42,73,100,1599870097
110,adra,ES,77.0,36.75,-3.02,5.82,44,74,1599870098
111,bania,RO,75.0,44.9,22.04,1.12,72,0,1599870098
112,paamiut,GL,38.8,61.99,-49.67,10.94,68,0,1599870098
113,severo-kurilsk,RU,50.34,50.68,156.12,18.88,87,84,1599870098
114,bluff,NZ,54.0,-46.6,168.33,4.0,65,96,1599870099
115,havoysund,NO,42.8,71.0,24.66,4.7,87,75,1599870099
116,catamarca,AR,66.24,-28.47,-65.79,4.83,43,73,1599870099
117,mar del plata,AR,48.0,-38.0,-57.56,3.36,61,50,1599869945
118,rio gallegos,AR,42.8,-51.62,-69.22,23.04,52,40,1599870100
119,lima,PE,60.8,-12.04,-77.03,9.17,77,90,1599869641
120,walvis bay,NA,57.0,-22.96,14.51,11.41,93,0,1599870100
121,puerto ayora,EC,68.0,-0.74,-90.35,5.01,91,83,1599870101
122,flinders,AU,64.99,-34.58,150.86,11.99,62,2,1599870101
123,shimoda,JP,75.2,34.67,138.95,8.05,100,75,1599870103
124,port alfred,ZA,65.71,-33.59,26.89,25.57,84,95,1599869900
125,port elizabeth,ZA,62.6,-33.92,25.57,18.34,100,90,1599870103
126,belaya gora,RU,54.16,68.53,146.42,5.46,52,0,1599870104
127,te anau,NZ,49.87,-45.42,167.72,8.88,70,83,1599870104
128,tessalit,ML,91.15,20.2,1.01,6.15,26,21,1599870105
129,shelby,US,87.8,35.2,-89.87,5.82,58,1,1599870106
130,beirut,LB,82.4,33.89,35.49,3.36,88,20,1599870107
131,marsa matruh,EG,77.0,31.35,27.25,5.12,65,0,1599870020
132,trinidad,BO,87.64,-14.83,-64.9,3.04,32,7,1599870108
133,cibitung,ID,66.87,-7.12,107.13,2.39,93,64,1599870109
